1,2,3,4,5,6,7,8,9,11,38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,2,,,,,,,,,
,,,CLASIFICACION,,,,8,8,,38
CODIGO,CP,FA,LINEA,CATEGORIA,TP,CASA / CCIAL,PRODUCTO,PRESENTACIÓN,IVA,PRECIO
1HINV-12,AMETRINA,44960,PC,HERBICIDA,DT,INVESA,AMETRINA 500 SC,GALON X 4 LT,0,123474.65850000002
1OSEI-03,AMICOS MC SC,45905,NV,FERTILIZANTE,EX,SEIPASA,AMICOS MC SC,BIDON X 1 LT,0,110188.72972800002
1OSEI-05,AMICOS PIR SC,45986,NV,FERTILIZANTE,EX,SEIPASA,AMICOS PIR SC,BIDON X 1 LT,0,117190.87775999999
1OSEI-04,AMICOS SEC SC,45986,NV,FERTILIZANTE,EX,SEIPASA,AMICOS SEC SC,BIDON X 1 LT,0,115872.46387199999
2SSQM-08,AMILSOL INICIAL 1530,45211,NV,FERTIRRIEGO,EX,SQM,AMILSOL INICIAL 15-30-15,BULTO X 25 KG,0,214422.008
2SSQM-01,AMILSOL KP 13,44750,NV,FERTIRRIEGO,EX,SQM,AMILSOL KP 13-3-44,BULTO X 25 KG,0,140900.45333333337
2SSQM-09,UREA FOSFATO,44804,NV,FERTIRRIEGO,EX,SQM,AMILSOL MAGNUM P44 (UREA FOSFATO),BULTO X 25 KG,0,189989.2
2SSQM-11,AMILSOL MICRO BORO,45519,NV,FERTIRRIEGO,EX,SQM,AMILSOL MICRO BORO,BULTO X 25 KG,0.19,167676.13333333336
1ASQM-03,MICRO REXENE CU 15,44888,NV,MICROS,EX,SQM,AMILSOL MICRO REXENE CU 15 ,BOLSA X 1 KG,0.19,43523.605333333333
1ASQM-08,MICRO REXENE FE Q48,44888,NV,MICROS,EX,SQM,AMILSOL MICRO REXENE FE Q 48 - EDDHA,BOLSA X 1 KG,0.19,41292.298666666669
1ASQM-07,MICRO REXENE FE Q58,44804,NV,MICROS,EX,SQM,AMILSOL MICRO REXENE Fe XQ58,BOLSA X 1 KG,0.19,43969.866666666669
1ASQM-04, MICRO REXENE FED12,44888,NV,MICROS,EX,SQM,AMILSOL MICRO REXENE FeD12 -DTPA,BOLSA X 1 KG,0.19,41738.560000000005
1ASQM-09,MICRO REXENE FED13,44631,NV,MICROS,EX,SQM,AMILSOL MICRO REXENE FeE13,BOLSA X 1 KG,0.19,33170.342400000001
1ASQM-10,AMILSOL MICRO REXENE K MN 12,45516,NV,MICROS,EX,SQM,AMILSOL MICRO REXENE K MN 12,BOLSA X 1 KG,0.19,34977.700800000006
1ASQM-11,AMILSOL MICRO REXENE K MN 12,45583,NV,MICROS,EX,SQM,AMILSOL MICRO REXENE K MN 12,BULTO X 25 KG,0.19,842646.4
1ASQM-05,AMILSOL MICRO REXENE K ZN 14,45849,NV,MICROS,EX,SQM,AMILSOL MICRO REXENE K ZN 14,BOLSA X 1 KG,0.19,34977.700800000006
2SSQM-16,AMILSOL MULTIPROPOSITO 18-18-18,46003,NV,FERTIRRIEGO,EX,SQM,AMILSOL MULTIPROPOSITO 18-18-18,BULTO X 25 KG,0,186314.10666666669
2SSQM-02, NKS 46,44750,NV,FERTIRRIEGO,EX,SQM,AMILSOL NKS 46 (12-0-46),BULTO X 25 KG,0,134206.53333333335
2SSQM-10,AMILSOLINE,44958,NV,FERTIRRIEGO,EX,SQM,AMILSOLINE KP,BULTO X 25 KG,0,148710.02666666667
1OGLG-11,AMINOPODER,45688,NV,FOLIAR,EX,MP GALAGRO,AMINOPODER,CANECA X 20 LT,0,815351.26500000013
1OGLG-06,AMINOPODER,45688,NV,FOLIAR,EX,MP GALAGRO,AMINOPODER,BIDON X 1 LT,0,59131.62
1OGLG-07,AMINOPODER,45688,NV,FOLIAR,EX,MP GALAGRO,AMINOPODER,GARRAFA X 5 LT,0,241122.82500000001
1AACU-14, AMINOSYS ,45699,BIA,BIOESTIMULANTE,DT,SYS,AMINOSYS,CANECA X 20 LT,0.19,745311.56367276562
1ABIO-01,AMINQFOL SC,44532,BIA,BIOESTIMULANTE,EX,BIO-CROP,AMINQFOL SC,BIDON X 1 LT,0,35606.99
1FSYN-16,AMISTAR 50,45021,PC,FUNGICIDA,DB,SYNGENTA,AMISTAR 50 WG,BOLSA X 500 GR,0,293504.11599999998
1FSYN-21,AMISTAR TOP,45021,PC,FUNGICIDA,DB,SYNGENTA,AMISTAR TOP,BIDON X 1 LT,0,249016.29800000001
1FBAY-39,ANTRACOL WP 70 ,44458,PC,FUNGICIDA,EX,BAYER,ANTRACOL WP 70 ,BULTO X 5 KG,0,329580.97876000009
1FBAY-03,ANTRACOL WP 70 ,44458,PC,FUNGICIDA,EX,BAYER,ANTRACOL WP 70 ,SOBRE X 400 GR,0,27527.566400000007
1ESFR-05,ANTRASIN,44952,BIO,FUNGICIDA,DT,SAFER,ANTRASIN ,BOLSA X 1 KG,0,38724.480000000003
1CCPF-01,AQUAFULL,44693,PC,COADYUVANTE,EX,CAMPOFERT,AQUAFULL,BIDON X 1 KG,0.19,40538.879999999997
1FITR-11, ARKONI WP ,,PC,FUNGICIDA,EX,INTEROC,ARKONI WP,BOLSA X 500 GR,0,34942.022282608697
1CITR-02,ARPON SL,44977,PC,COADYUVANTE,EX,INTEROC,ARPON SL,BIDON X 1 LT,0.19,126674.31311571824
1IINV-17,ARROLLADOR 240 SC,46080,PC,INSECTICIDA,DT,INVESA,ARROLLADOR 240 SC,BIDON X 1 LT,0,199979.38800000001
1HPRF-21,ARROW 120 EC,45595,PC,HERBICIDA,AL,ADAMA,ARROW 120 EC,BIDON X 1 LT,0,46523.399999999994
2FADN-03,ASCOFOL,45335,BIO,FERTILIZANTE,EX,ADN ADELANTE,ASCOFOL,BIDON X 1 LT,0,42857.142857142862
1IINV-09,ASTUTO 200 SC,45496,PC,INSECTICIDA,DT,INVESA,ASTUTO 200 SC,BIDON X 1 LT,0,155250
1AINN-01,ATP-UP,45017,BIA,BIOESTIMULANTE,EX,INNOVAK,ATP-UP,BIDON X 1 LT,0,56434.060799999999
1AINN-02,ATP-UP,45017,BIA,BIOESTIMULANTE,EX,INNOVAK,ATP-UP,CANECA X 10 LT,0,549699.69600000011
1AINN-03,ATP-UP,45017,BIA,BIOESTIMULANTE,EX,INNOVAK,ATP-UP,CANECA X 20 LT,0,1051483.6800000002
1FITR-22,ATTICUS SC,45386,PC,FUNGICIDA,EX,INTEROC,ATTICUS SC,BIDON X 1 LT,0,186199.00759072867
1RGEN-03,AUSTAR,,BIA,REGULADOR,EX,CHEMICAL DIRECT,AUSTAR,BIDON X 1 LT,0,920000
1ITCQ-06,AVOID 1.8 EC,44972,PC,ACARICIDA,DT,TECNOQUIMICAS,AVOID 1.8 EC,BIDON X 1 LT,0,36049.421272421052
1FPRF-27,AZIMUT 320 SC,45052,PC,FUNGICIDA,AL,ADAMA,AZIMUT 320 SC,BIDON X 1 LT,0,123496.55197938059
8NGEN-01,AZUCAR BLANCO,44816,DPV,POSCOSECHA,CO,VARIOS,AZUCAR BLANCO,BULTO X 50 KG,0.05,196047.4
8NGEN-02,AZUCAR MORENA,44684,DPV,POSCOSECHA,CO,VARIOS,AZUCAR MORENA,BULTO X 25 KG,0.05,114451.45
1FASG-02,AZUCO,45017,PC,FUNGICIDA,AL,COLINAGRO,AZUCO ,GARRAFA X 4 LT,0,72235.600821291591
2SMEJ-03,AZUFRE M-325,44838,NV,EDAFICO,CO,VARIOS,AZUFRE MICRONIZADO M-325 ,BULTO X 25 KG,0,84383.116883116891
1MORI-01,BACTHON,45017,BIA,INOCULANTE,DT,ORIUS,BACTHON ,BIDON X 1 LT,0,77626.781250000015
1MBIO-35,BACTRIAL SC,44532,BIO,FUNGICIDA,EX,BIO-CROP,BACTRIAL SC,BIDON X 1 LT,0,50254.999999999993
1MBIO-42,BACTRIAL SC,45538,BIO,FUNGICIDA,EX,BIO-CROP,BACTRIAL SC,CANECA X 20 LT,0,998223
1BASV-01,BACULOVIRUS CORPOICA WP,45832,BIO,INSECTICIDA,EX,AGROSAVIA,BACULOVIRUS CORPOICA WP,BOLSA X 1 KG,0,27702
1MBIO-05,BAK TUR WP,44532,BIO,INSECTICIDA,EX,BIO-CROP,BAK TUR WP,FRASCO X 500 GR,0,34111.875
1MBIO-37,BAK TUR WP,44862,BIO,INSECTICIDA,EX,BIO-CROP,BAK TUR WP,BOLSA X 1 KG,0,67541.512499999997
1IINV-14,BANGOT 50 EC,45496,PC,INSECTICIDA,DT,INVESA,BANGOT 50 EC,BIDON X 1 LT,0,48654.000000000007
1HBSF-01, BASAGRAN ,45435,PC,HERBICIDA,ES,BASF,BASAGRAN,BIDON X 1 LT,0,88794.465044999975
1IPCA-01,BAZUCA 50 EC,45520,PC,INSECTICIDA,DT,PRECISAGRO,BAZUCA 50 EC,BIDON X 1 LT,0,29595.445063291139
1HBAY-04, BECANO SC 500 ,45392,PC,HERBICIDA,EX,BAYER,BECANO SC 500,BIDON X 1 LT,0,1012459.7836000002
1FBSF-34,BELANTY SC,45052,PC,FUNGICIDA,AL,BASF,BELANTY SC,BIDON X 1 LT,0,252422.81988636361
1FINV-07,BELICO 500 SC ,44964,PC,FUNGICIDA,DT,INVESA,BELICO 500 SC,FRASCO X 250 GR,0,12330.994500000003
1FINV-04,BELICO 500 SC ,44977,PC,FUNGICIDA,DT,INVESA,BELICO 500 SC X 1 LT,BIDON X 1 LT,0,29069.617500000004
1FBSF-18,BELLIS WG,45052,PC,FUNGICIDA,AL,BASF,BELLIS WG,FRASCO X 1 KG,0,280502.18437500001
1FSUM-01,BELLKUTE 40 WP,44775,PC,FUNGICIDA,AL,SUMMITAGRO,BELLKUTE 40 WP,BOLSA X 500 GR,0,181173.59263644385
1IBAY-60,BELT SC 480,45021,PC,INSECTICIDA,EX,BAYER,BELT SC 480,FRASCO X 500 CC,0,509169.94048000011
8PCRY-73,BENCHMARK UNIVERSAL,46037,DPV,POSCOSECHA,DT,CHRYSAL,BENCHMARK UNIVERSAL,CAJA SACHETS 10 X 1000 UDS,0.19,179105.67360000004
8PCRY-74,BENCHMARK UNIVERSAL,46037,DPV,POSCOSECHA,DT,CHRYSAL,BENCHMARK UNIVERSAL,CAJA SACHETS 5 X 2000 UDS,0.19,179105.67360000004
1FTCQ-02,BEZIL 50 WP ,44972,PC,FUNGICIDA,DT,TECNOQUIMICAS,BEZIL 50 WP,BOLSA X 1 KG,0,26533.474832842105
8PCRY-08,BI-LO/WINNDIXIE UNIVER.,45909,DPV,POSCOSECHA,DT,CHRYSAL,BI-LO/WINNDIXIE UNIVER.,CAJA SACHETS 10 X 1000 UDS,0.19,264369.40084800002
8PCRY-09,BI-LO/WINNDIXIE UNIVER.,45909,DPV,POSCOSECHA,DT,CHRYSAL,BI-LO/WINNDIXIE UNIVER.,CAJA SACHETS 5 X 2000 UDS,0.19,264369.40084800002
1BINN-01,BIOFIT,45017,BIA,INOCULANTE,EX,INNOVAK,BIOFIT,BOLSA X 1 KG,0,126630
1CACL-01,BIOPLANT SL,44594,PC,COADYUVANTE,DT,AGROCOL,BIOPLANT SL,BIDON X 1 LT,0.19,15748.857954545456
1CACL-02,BIOPLANT SL,44594,PC,COADYUVANTE,DT,AGROCOL,BIOPLANT SL,CANECA X 20 LT,0.19,282912.9375
1CACL-03,BIOPLANT SL,44594,PC,COADYUVANTE,DT,AGROCOL,BIOPLANT SL,GARRAFA X 4 LT,0.19,59596.397727272728
1AORI-01,BIQ SC,45017,BIA,BIOESTIMULANTE,DT,ORIUS,BIQ SC,BIDON X 1 LT,0,55708.631249999999
2AARI-01,BLACK DIAMOND LQ,45017,BIA,ACOND SUELOS,EX,PETI ROUGE,BLACK DIAMOND ,BIDON X 1 LT,0,25664.55
2AARI-02,BLACK DIAMOND LQ,45017,BIA,ACOND SUELOS,EX,PETI ROUGE,BLACK DIAMOND ,GALON X 4 LT,0,87544.9
2AARI-03,BLACK DIAMOND LQ,45017,BIA,ACOND SUELOS,EX,PETI ROUGE,BLACK DIAMOND ,CANECA X 20 LT,0,377339.15
2EORG-03,BLACK DIAMOND GR,45017,BIA,ACOND SUELOS,EX,PETI ROUGE,BLACK DIAMOND GR,BULTO X 25 KG,0,147817.54999999999
1FAMY-01,BLAST PRO EC,46122,PC,FUNGICIDA,EX,AGROCHEMY,BLAST PRO EC,BIDON X 1 LT,0,323568
1ITCQ-01,BLAZER 200 SC,45623,PC,INSECTICIDA,DT,TECNOQUIMICAS,BLAZER 200 SC,BIDON X 1 LT,0.19,353410.4591598399
1ITCQ-03,BLAZER 200 SC,45688,PC,INSECTICIDA,DT,TECNOQUIMICAS,BLAZER 200 SC,FRASCO X 200 CC,0.19,81842.355714998062
1ACPF-19,BLINDER DUO,44977,NV,FOLIAR,EX,CAMPOFERT,BLINDER DUO,BIDON X 1 LT,0,110620.8
1ACPF-24,BLINDER DUO,44966,NV,FOLIAR,EX,CAMPOFERT,BLINDER DUO,CANECA X 20 LT,0,2184595.2000000002
