semana_iso,anio,grupo,producto,bloque,plantas,tallos_semana,tallos_dia,base_del_calculo,origen
44,2026,Trachellium,Trachelium White,5+3C,1900,845,141,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
45,2026,Ammi,Ammi Majus,6,1728,231,38,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
45,2026,Ammi,Ammi Majus,6 EXT,1370,183,30,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
45,2026,Boca de Dragón,Snapdragon Opus Red,4A,2016,296,49,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
45,2026,Boca de Dragón,Snapdragon Monaco Plumblossom,4A,2016,296,49,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
45,2026,Boca de Dragón,Snapdragon Opus Lavender,3B,1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
45,2026,Boca de Dragón,Snapdragon Plumblossom,4B,1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
45,2026,Boca de Dragón,Snapdragon Opus White Fresh,4A,1440,211,35,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
45,2026,Boca de Dragón,Snapdragon Monaco Dark Pink,4A,576,84,14,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
45,2026,Boca de Dragón,Snapdragon Opus Fresh,3B,548,80,13,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
45,2026,Campanula,Campanula Champion Pink,4B,1370,161,27,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
45,2026,Dusty Miller,Dusty New Look,5,864,77,13,"OBSERVADO (7 sem de registro, 578 tallos reales)",CAMPO (ya sembrado)
45,2026,Gomphrena,QIS Carmine,5,1662,433,72,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
45,2026,Gomphrena,Quis Pink,4A y 4B y 2,1508,393,66,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
45,2026,Gomphrena,QIS Red,3B,822,214,36,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
45,2026,Gomphrena,QIS Orange,3B,464,121,20,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
45,2026,Green Ball,Dianthus Green Ball,3A,1600,666,111,"OBSERVADO (11 sem de registro, 3,751 tallos reales)",CAMPO (ya sembrado)
45,2026,Limonium,Statice Hipster Apricot,4C+,1838,409,68,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
45,2026,Limonium,Limonium Quis Lavender,2,673,150,25,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
45,2026,Lisianthus,Lisianthus Blanco,3B,286,39,6,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
45,2026,Lisianthus,Lisianthus Blanco,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
45,2026,Statice,Forever Silver,3C,1647,423,70,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
45,2026,Strawflower,Strawflower Cranberry Rose,6 EXT,1800,69,12,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
45,2026,Strawflower,Strawflower Vintage White,6 EXT,881,34,6,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
45,2026,Strawflower,Strawflower Cranberry Rose,6 EXT,400,15,2,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
45,2026,Strawflower,Strawflower King Size Red,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
45,2026,Strawflower,Strawflower Copper Red,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
45,2026,Strawflower,Strawflower Vintage White,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
45,2026,Trachellium,Trachelium White,5+3C,1900,845,141,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
46,2026,Ammi,Ammi Majus,6,1728,231,38,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
46,2026,Boca de Dragón,Potomac Appleblossom,(por asignar),3014,442,74,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem37
46,2026,Boca de Dragón,Snapdragon Monaco Plumblossom,4A,2016,296,49,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
46,2026,Boca de Dragón,Snapdragon Plumblossom,4B,1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
46,2026,Boca de Dragón,Snapdragon Opus White Fresh,4A,1440,211,35,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
46,2026,Boca de Dragón,Snapdragon Monaco Dark Pink,4A,576,84,14,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
46,2026,Campanula,Campanula champion White,3A,1644,193,32,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
46,2026,Campanula,Campanula Champion Pink,4B,1370,161,27,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
46,2026,Dianthus,Dianthus Sweet Cherry,3A,2016,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
46,2026,Gomphrena,Gomphrena Carmine,3B,1918,499,83,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
46,2026,Gomphrena,Gomphrena Quis Red,3B,1918,499,83,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
46,2026,Gomphrena,QIS Red,3B,822,214,36,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
46,2026,Gomphrena,QIS Orange,3B,464,121,20,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
46,2026,Limonium,Statice Hipster Apricot,4C+,1838,409,68,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
46,2026,Limonium,Limonium Quis Lavender,2,673,150,25,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
46,2026,Lisianthus,Lisianthus Blanco,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
46,2026,Matricaria,Matricaria Snowball,3A,2016,89,15,"OBSERVADO (7 sem de registro, 1,460 tallos reales)",CAMPO (ya sembrado)
46,2026,Statice,Forever Silver,3C,1647,423,70,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
46,2026,Strawflower,Strawflower Cranberry Rose,6 EXT,1800,69,12,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
46,2026,Strawflower,Strawflower Vintage White,6 EXT,881,34,6,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
46,2026,Strawflower,Strawflower Cranberry Rose,6 EXT,400,15,2,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
46,2026,Strawflower,Strawflower King Size Red,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
46,2026,Strawflower,Strawflower Copper Red,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
46,2026,Strawflower,Strawflower Vintage White,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
46,2026,Trachellium,Trachelium White,5+3C,1900,845,141,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
47,2026,Ammi,Ammi Majus,6,1728,231,38,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
47,2026,Ammi,Ammi Majus,6,1728,231,38,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
47,2026,Boca de Dragón,Potomac Appleblossom,(por asignar),3014,442,74,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem37
47,2026,Boca de Dragón,Potomac Appleblossom,(por asignar),1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem38
47,2026,Campanula,Campanula champion White,3A,1644,193,32,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
47,2026,Campanula,Campanula Champion Pink,4B,1370,161,27,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
47,2026,Dianthus,Dianthus Sweet Cherry,3A,2016,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
47,2026,Dusty Miller,Dusty New Look,3B,648,58,10,"OBSERVADO (7 sem de registro, 578 tallos reales)",CAMPO (ya sembrado)
47,2026,Dusty Miller,Dusty Miller,5,432,38,6,"OBSERVADO (7 sem de registro, 578 tallos reales)",CAMPO (ya sembrado)
47,2026,Girasol,Sunflower Pro Cut Red,Mini,1440,558,93,"OBSERVADO (5 sem de registro, 1,047 tallos reales)",CAMPO (ya sembrado)
47,2026,Girasol,Girasol Pro Cut Red,3A,1152,447,74,"OBSERVADO (5 sem de registro, 1,047 tallos reales)",CAMPO (ya sembrado)
47,2026,Gomphrena,Gomphrena Carmine,3B,1918,499,83,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
47,2026,Gomphrena,Gomphrena Quis Red,3B,1918,499,83,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
47,2026,Gomphrena,QIS Red,3B,822,214,36,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
47,2026,Gomphrena,QIS Orange,3B,464,121,20,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
47,2026,Limonium,Statice Hipster Apricot,4C+,1838,409,68,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
47,2026,Limonium,Limonium Quis Lavender,2,673,150,25,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
47,2026,Lisianthus,Lisianthus Blanco,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
47,2026,Matricaria,Matricaria Snowball,3A,2016,89,15,"OBSERVADO (7 sem de registro, 1,460 tallos reales)",CAMPO (ya sembrado)
47,2026,Statice,Forever Silver,3C,1647,423,70,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
47,2026,Strawflower,Strawflower Cranberry Rose,6 EXT,1800,69,12,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
47,2026,Strawflower,Strawflower Vintage White,6 EXT,881,34,6,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
47,2026,Strawflower,Strawflower Cranberry Rose,6 EXT,400,15,2,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
47,2026,Strawflower,Strawflower Vintage White,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
48,2026,Ammi,Ammi Majus,6,1728,231,38,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
48,2026,Ammi,Ammi Majus,6,1728,231,38,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
48,2026,Boca de Dragón,Potomac Appleblossom,(por asignar),3014,442,74,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem37
48,2026,Boca de Dragón,Potomac Appleblossom,(por asignar),1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem38
48,2026,Boca de Dragón,Opus Fresh,(por asignar),1370,201,34,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem39
48,2026,Campanula,Campanula champion White,3A,1644,193,32,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
48,2026,Campanula,Campanulas Champion White,5,1644,193,32,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
48,2026,Campanula,Campanulas Champion Pink,5,1370,161,27,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
48,2026,Dianthus,Dianthus Sweet Cherry,3A,2016,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
48,2026,Dianthus,Dianthus Sweet Cherry,4C+3C,2016,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
48,2026,Dusty Miller,Dusty New Look,3B,648,58,10,"OBSERVADO (7 sem de registro, 578 tallos reales)",CAMPO (ya sembrado)
48,2026,Dusty Miller,Dusty Miller,5,432,38,6,"OBSERVADO (7 sem de registro, 578 tallos reales)",CAMPO (ya sembrado)
48,2026,Girasol,Sunflower Pro Cut Red,Mini,1440,558,93,"OBSERVADO (5 sem de registro, 1,047 tallos reales)",CAMPO (ya sembrado)
48,2026,Girasol,Girasol Pro Cut Red,3A,1152,447,74,"OBSERVADO (5 sem de registro, 1,047 tallos reales)",CAMPO (ya sembrado)
48,2026,Gomphrena,Gomphrena Carmine,3B,1918,499,83,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
48,2026,Gomphrena,Gomphrena Quis Red,3B,1918,499,83,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
48,2026,Gomphrena,QIS Red,3B,822,214,36,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
48,2026,Gomphrena,QIS Orange,3B,464,121,20,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
48,2026,Limonium,Statice Hipster Apricot,4C+,1838,409,68,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
48,2026,Limonium,Limonium Quis Lavender,2,673,150,25,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
48,2026,Lisianthus,Lisianthus Blanco,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
48,2026,Strawflower,Strawflower Cranberry Rose,6 EXT,1800,69,12,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
48,2026,Strawflower,Strawflower Vintage White,6 EXT,881,34,6,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
48,2026,Strawflower,Strawflower Cranberry Rose,6 EXT,400,15,2,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
48,2026,Strawflower,Strawflower Vintage White,3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
49,2026,Ammi,Ammi Majus,6,1728,231,38,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
49,2026,Boca de Dragón,Potomac Appleblossom,(por asignar),1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem38
49,2026,Boca de Dragón,Potomac Appleblossom,(por asignar),1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem40
49,2026,Boca de Dragón,Opus Fresh,(por asignar),1370,201,34,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem39
49,2026,Boca de Dragón,Opus Fresh,(por asignar),1370,201,34,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem40
49,2026,Campanula,Campanula White,(por asignar),3014,353,59,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",BALL entrega sem37
49,2026,Campanula,Campanulas Champion White,5,1644,193,32,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
49,2026,Campanula,Campanulas Champion Pink,5,1370,161,27,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
49,2026,Dianthus,Dianthus Sweet Cherry,4C+3C,2016,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
49,2026,Dusty Miller,Dusty New Look,3B,648,58,10,"OBSERVADO (7 sem de registro, 578 tallos reales)",CAMPO (ya sembrado)
49,2026,Dusty Miller,Dusty Miller,5,432,38,6,"OBSERVADO (7 sem de registro, 578 tallos reales)",CAMPO (ya sembrado)
49,2026,Girasol,Girasol Pro Cut Red,(por asignar),1520,589,98,"OBSERVADO (5 sem de registro, 1,047 tallos reales)",BALL entrega sem37
49,2026,Girasol,Sunflower Pro Cut Red,Mini,1440,558,93,"OBSERVADO (5 sem de registro, 1,047 tallos reales)",CAMPO (ya sembrado)
49,2026,Girasol,Girasol Pro Cut Red,3A,1152,447,74,"OBSERVADO (5 sem de registro, 1,047 tallos reales)",CAMPO (ya sembrado)
49,2026,Gomphrena,Gomphrena Carmine,3B,1918,499,83,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
49,2026,Gomphrena,Gomphrena Quis Red,3B,1918,499,83,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
49,2026,Gomphrena,QIS Red,3B,822,214,36,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
49,2026,Gomphrena,QIS Orange,3B,464,121,20,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
49,2026,Green Ball,Green Ball,4C,1600,666,111,"OBSERVADO (11 sem de registro, 3,751 tallos reales)",CAMPO (ya sembrado)
49,2026,Limonium,Statice Hipster Apricot,4C+,1838,409,68,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
49,2026,Limonium,Limonium Quis Lavender,2,673,150,25,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
49,2026,Statice,Statice Hipster Apricot,3A,1000,257,43,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
50,2026,Ammi,Ammi Majus,6,1728,231,38,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",CAMPO (ya sembrado)
50,2026,Boca de Dragón,Potomac Appleblossom,(por asignar),1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem40
50,2026,Boca de Dragón,Opus Fresh,(por asignar),1370,201,34,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem39
50,2026,Boca de Dragón,Opus Fresh,(por asignar),1370,201,34,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem40
50,2026,Campanula,Campanula White,(por asignar),3014,353,59,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",BALL entrega sem37
50,2026,Campanula,Campanulas Champion White,5,1644,193,32,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
50,2026,Campanula,Campanulas Champion Pink,5,1370,161,27,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
50,2026,Dianthus,Dianthus Sweet Cherry,4C+3C,2016,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
50,2026,Girasol,Girasol Pro Cut Red,(por asignar),1520,589,98,"OBSERVADO (5 sem de registro, 1,047 tallos reales)",BALL entrega sem37
50,2026,Gomphrena,Gomphrena Carmine,3B,1918,499,83,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
50,2026,Gomphrena,Gomphrena Quis Red,3B,1918,499,83,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
50,2026,Gomphrena,QIS Red,3B,822,214,36,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
50,2026,Gomphrena,QIS Orange,3B,464,121,20,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
50,2026,Green Ball,Green Ball,4C,1600,666,111,"OBSERVADO (11 sem de registro, 3,751 tallos reales)",CAMPO (ya sembrado)
50,2026,Limonium,Statice Hipster Apricot,4C+,1838,409,68,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
50,2026,Limonium,Limonium Quis Lavender,2,673,150,25,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
50,2026,Statice,Statice Hipster Apricot,3A,1000,257,43,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
50,2026,Trachellium,Trachellium White Lake,3A,3800,1690,282,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
51,2026,Ammi,Ammi Majus,(por asignar),1644,220,37,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",BALL entrega sem39
51,2026,Boca de Dragón,Potomac Appleblossom,(por asignar),1918,281,47,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem40
51,2026,Boca de Dragón,Opus Fresh,(por asignar),1370,201,34,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",BALL entrega sem40
51,2026,Campanula,Campanula White,(por asignar),3014,353,59,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",BALL entrega sem37
51,2026,Celosia Purple Flamingo,Celosia Purple Flamingo,5,1096,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
51,2026,Dianthus,Dianthus Sweet Cherry,(por asignar),1918,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,BALL entrega sem37
51,2026,Girasol,Girasol Pro Cut Red,(por asignar),1520,589,98,"OBSERVADO (5 sem de registro, 1,047 tallos reales)",BALL entrega sem37
51,2026,Gomphrena,Gomphrena Carmine,3B,1918,499,83,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
51,2026,Gomphrena,Gomphrena Quis Red,3B,1918,499,83,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
51,2026,Green Ball,Green Ball,4C,1600,666,111,"OBSERVADO (11 sem de registro, 3,751 tallos reales)",CAMPO (ya sembrado)
51,2026,Limonium,Statice Hipster Apricot,4C+,1838,409,68,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
51,2026,Limonium,Limonium Quis Lavender,2,673,150,25,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
51,2026,Matricaria,Matricaria Snowball,(por asignar),1728,76,13,"OBSERVADO (7 sem de registro, 1,460 tallos reales)",BALL entrega sem39
51,2026,Statice,Statice Hipster Apricot,3A,1000,257,43,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
51,2026,Trachellium,Trachellium White Lake,3A,3800,1690,282,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
52,2026,Ammi,Ammi Majus,(por asignar),1644,220,37,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",BALL entrega sem39
52,2026,Celosia Purple Flamingo,Celosia Purple Flamingo,5,1096,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
52,2026,Dianthus,Dianthus Sweet Cherry,(por asignar),1918,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,BALL entrega sem37
52,2026,Matricaria,Matricaria Snowball,(por asignar),1728,76,13,"OBSERVADO (7 sem de registro, 1,460 tallos reales)",BALL entrega sem39
52,2026,Statice,Statice Hipster Apricot,3A,1000,257,43,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
52,2026,Trachellium,Trachellium White Lake,3A,3800,1690,282,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
1,2027,Ammi,Ammi Majus,(por asignar),1644,220,37,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",BALL entrega sem39
1,2027,Campanula,Campanula White,(por asignar),1096,128,21,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",BALL entrega sem41
1,2027,Celosia Purple Flamingo,Celosia Purple Flamingo,5,1096,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
1,2027,Dianthus,Dianthus Sweet Cherry,(por asignar),1918,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,BALL entrega sem37
1,2027,Statice,Statice Hipster Apricot,3A,1000,257,43,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
2,2027,Ammi,Ammi Majus,(por asignar),1644,220,37,"OBSERVADO (11 sem de registro, 2,562 tallos reales)",BALL entrega sem39
2,2027,Campanula,Campanula White,(por asignar),1096,128,21,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",BALL entrega sem41
2,2027,Celosia Purple Flamingo,Flamingo Purple,(por asignar),1096,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,BALL entrega sem39
2,2027,Statice,Statice Hipster Apricot,3A,1000,257,43,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
3,2027,Campanula,Campanula White,(por asignar),1096,128,21,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",BALL entrega sem41
3,2027,Celosia Purple Flamingo,Flamingo Purple,(por asignar),1096,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,BALL entrega sem39
3,2027,Gomphrena,QIS Carmine,(por asignar),1096,285,48,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",BALL entrega sem42
3,2027,Gomphrena,QIS Red,(por asignar),1096,285,48,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",BALL entrega sem42
3,2027,Statice,Statice Hipster Apricot,3A,1000,257,43,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
4,2027,Celosia Purple Flamingo,Flamingo Purple,(por asignar),1096,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,BALL entrega sem39
4,2027,Gomphrena,QIS Carmine,(por asignar),1096,285,48,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",BALL entrega sem42
4,2027,Gomphrena,QIS Red,(por asignar),1096,285,48,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",BALL entrega sem42
4,2027,Statice,Statice Hipster Apricot,3A,1000,257,43,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
4,2027,Trachellium,Trachelium White,(por asignar),1900,845,141,TEORICO x factor de merma global 0.22,BALL entrega sem41
5,2027,Gomphrena,QIS Carmine,(por asignar),1096,285,48,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",BALL entrega sem42
5,2027,Gomphrena,QIS Red,(por asignar),1096,285,48,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",BALL entrega sem42
5,2027,Trachellium,Trachelium White,(por asignar),1900,845,141,TEORICO x factor de merma global 0.22,BALL entrega sem41
6,2027,Gomphrena,QIS Carmine,(por asignar),1096,285,48,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",BALL entrega sem42
6,2027,Gomphrena,QIS Red,(por asignar),1096,285,48,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",BALL entrega sem42
