,PROVEEDOR,Variedad,Color,Cantidad recibida,Cantidad Trasplantada,Fecha siembra campo,Semana,Bloque sembrado,Inicio cosecha,Semana,Fin de cosecha,COMENTARIOS,Nombre Homologados,Tallos vendidos,Fecha Homologada,Estado,,Ventas WIX,Utilidad,Ventas por tallos calculados MG
,DCB,Zinnia Queenie Formula Mix,Multicolor · anémona mini,,,17/11,47,3AB,FEBRERO,4,,5,Zinnia Candy Mix,,,Cerrada,,,,
,DCB,Zinnia Polar Bear,Blush · beige · rosa pálido,,,17/11,47,3AB,FEBRERO,4,,5,Zinnia Linen,,,Cerrada,,,,
,Ball,Snapdragon Potomac Early White ,Blanco puro,,1728,20/11,47,3B,FEBRERO,5,,7,Opus Fresh,,,Cerrada,,,,
,Ball,Snapdragon Potomac early pink ,Blanco rosado pastel,,2880,20/11,47,3B,FEBRERO,5,,7,Potomac Appleblossom,,,Cerrada,,,,
,DCB,Celosia Sunday Red???,Rojo,,700,21/11,47,2,FEBRERO,7,,,Sunday Red,,,Cerrada,,,,
,Ball,Campanula Champion Pink,Rosa,,800,24/11,48,2,FEBRERO,8,,"Sem 8,9 cosechando algo, semana 11 siguen tallos aperturando, semana 12 ya ultimos tallos",Campanula Pink,,,Cerrada,,,,
,DCB,Daucus Carota Purple Kisses,Rosa pálido · lavanda · morado suave,,1100,24/11,48,3 ext,ABRIL,16,,No tenia plastico y se emalezo sin floracion. Perdida,Ammi Dara,,,Cerrada,,,,
,DCB,Celosia Cristata Indian Summer Burgundy,Vino tinto,,,26/11,48,5,FEBRERO,8,,Aun demasiado delgadas,Cristata Indian Summer,,,Cerrada,,,,
,DCB,Statice Quis Apricot,Salmón · durazno,,,27/11,48,3A,MARZO,11,,,Statice Apricot,,,Cerrada,,,,
,DCB,"Celosias: Wheat, Chief Carmine, Cramers Rose, Pastel, Dreams",Por confirmar,,,28/11,48,5,FEBRERO,8,,"Sem 9 aun sin mostrar plumas, 11 ya en formacion de plumas pero aun inmaduras",Cristata Chief Carmine,,,Cerrada,,,,
,DCB,Dill bouquet,,,,28/11,48,3 ext,MARZO,11,,Nunca salo no se que paso,,,,Cerrada,,,,
,DCB,Snapdragon restantes DCB,,,240,24/11,49,2,FEBRERO,9,,,,,,Cerrada,,,,
,Ball,Dusty Miller New Look,Plateado azulado · hoja grande,,640,2/12,49,3c,MAYO,17,,Lo voy a sacar en semana 18 pero unca elongo,Dusty New Look,,,Cerrada,,,,
,Ball,Ammi Majus,Blanco · verde suave,,1152,3/12,49,3EXT,MARZO,10,,,Ammi Majus,,,Cerrada,,,,
,DCB,Amarantos cAScada,Verde lima,,,4/12,49,5,FEBRERO,6,,Terrrible cosecha se quedaron enanos,Green Tails,,,Cerrada,,,,
,Ball,Matricarias Vegmo Single,Blanco con centro amarillo,,1728,12/12,51,5,MARZO,12,,"Aun nada, decidi sacarlas",Matricaria Vegmo,,,Cerrada,,,,
